objectid,fire_year,discovery_doy,fire_size,latitude,longitude
1592940,2012,119,2.0,45.02491,-83.50015
1592941,2012,120,0.1,45.02532,-83.49651
1592942,2012,120,0.3,45.016000000000005,-83.86672
1592944,2012,133,0.5,44.89832,-83.41159
1592945,2012,140,1.0,45.05774,-83.83904
1592946,2012,145,0.7,45.117509999999996,-83.32374
1592947,2012,140,0.2,44.99207,-83.86385
1592948,2012,162,0.5,44.97517,-83.62321
1592949,2012,206,0.8,44.89727,-83.5262
1592950,2012,247,0.2,44.96713,-83.48634
1592951,2012,280,9.9,45.12406,-83.33421
1593034,2012,81,0.5,45.09169,-85.14196
1593036,2012,98,0.3,44.99046,-85.3533
1593039,2012,145,14.7,45.02635,-85.1564
1593042,2012,260,1.0,44.86063,-85.08521
1593204,2012,80,32.5,44.0902,-83.92384
1593206,2012,98,3.6,44.12878,-83.97353000000001
1593207,2012,103,0.4,44.12697,-83.92799000000001
1593208,2012,103,0.1,44.112629999999996,-83.95898000000001
1593209,2012,136,1.5,44.08767,-83.92744
1593211,2012,221,1.8,44.04206,-83.96494
1593212,2012,261,1.6,44.06536,-83.90693
1593441,2012,278,18.0,46.68108,-88.08507
1593599,2012,199,4.1,42.76342,-85.40763000000001
1593931,2012,39,3.8,43.81072,-83.92407
1593933,2012,104,4.4,44.6541,-85.91055
1593934,2012,225,1.0,44.629,-85.883
1594989,2012,210,3.1,42.17442,-85.24193000000001
1595262,2012,98,2.0,45.23941,-85.251
1595263,2012,98,0.1,45.26299,-84.84232
1595265,2012,119,1.5,45.15103,-85.13096
1595267,2012,146,0.2,45.15323,-85.19289
1595443,2012,80,0.1,45.39103,-84.62986
1595446,2012,98,0.5,45.36991,-84.57689
1595447,2012,98,1.8,45.35587,-84.7624
1595449,2012,114,0.5,45.36554,-84.63869
1595450,2012,115,0.2,45.27346,-84.56231
1595451,2012,115,0.2,45.370490000000004,-84.41585
1595453,2012,119,0.2,45.32907,-84.5107
1595454,2012,145,0.1,45.37453,-84.71355
1595456,2012,236,0.1,45.39467,-84.5333
1595458,2012,312,0.1,45.397220000000004,-84.61847
